# FrameTime=1781596478.44, PointCount=478
4.6384,18.1904
4.6067,18.1947
4.6501,18.2448
4.6395,18.2620
4.6644,18.3013
4.6706,18.3292
4.7641,18.4120
4.6699,18.3771
4.7011,18.4213
4.6675,18.4244
4.5766,18.3903
4.5613,18.4046
4.5461,18.4189
4.5391,18.4386
4.5378,18.4621
4.4767,18.4458
4.4639,18.4616
4.4527,18.4783
4.5008,18.5353
4.4605,18.5324
4.5231,18.6000
4.3727,18.5454
4.3924,18.5837
4.3726,18.5944
4.3488,18.6022
4.4240,18.6806
4.3269,18.6360
4.2307,18.6157
4.1747,18.5993
4.1550,18.6092
4.3505,18.7787
4.1596,18.6617
4.1421,18.6733
4.0746,18.6715
4.0587,18.6840
4.0841,18.7282
4.1076,18.7713
4.0978,18.7889
4.0321,18.7626
4.0184,18.7767
4.0430,18.8213
3.9471,18.7700
3.9466,18.7946
3.9383,18.8129
3.9609,18.8564
3.9678,18.8875
3.9939,18.9345
4.2288,19.1550
4.0031,18.9939
3.8830,18.9193
3.8322,18.9020
3.9240,19.0055
3.8808,18.9947
3.8945,19.0324
3.8083,19.0100
3.7240,18.9623
3.6850,18.9537
3.6947,18.9879
3.6708,18.9924
3.6542,19.0034
3.6469,19.0487
3.6249,19.0548
3.6340,19.0893
3.5785,19.0643
3.5764,19.0886
3.6727,19.2050
3.6842,19.2700
3.5329,19.1534
3.4455,19.0963
3.4036,19.0822
3.4156,19.1201
3.3738,19.1058
3.3474,19.1327
3.3236,19.1355
3.2997,19.1382
3.3005,19.1656
3.2942,19.1859
3.3018,19.2205
3.2464,19.1909
3.1883,19.1847
3.1853,19.2084
3.1650,19.2140
3.1755,19.2522
3.1756,19.2796
3.2799,19.4184
3.1498,19.3346
3.0987,19.3070
3.0917,19.3270
3.0610,19.3211
3.0439,19.3299
3.0467,19.3609
3.0238,19.3914
3.0031,19.3963
2.9792,19.3974
2.9422,19.3833
2.8988,19.3615
2.8979,19.3887
2.8699,19.4127
2.8590,19.4284
2.8577,19.4556
2.8243,19.4445
2.7942,19.4371
2.7832,19.4527
2.8403,19.5513
2.7547,19.4760
2.7593,19.5109
2.7543,19.5342
2.7446,19.5516
2.7192,19.5495
2.7047,19.5610
2.6871,19.5685
2.6488,19.5794
2.6129,19.5630
2.6074,19.5860
2.6261,19.6409
2.6475,19.6999
2.6385,19.7191
2.5966,19.7256
2.5326,19.6703
2.5252,19.6914
2.4882,19.6720
2.4733,19.6827
2.4570,19.6915
2.4300,19.7170
2.4294,19.7480
2.4430,19.7995
2.3964,19.7651
2.3812,19.7756
2.3547,19.7696
2.3692,19.8233
2.3160,19.7780
2.3064,19.7965
2.3078,19.8316
2.2759,19.8170
2.2523,19.8146
2.2288,19.8122
2.2053,19.8097
2.1775,19.8337
2.1648,19.8478
2.1575,19.8702
2.1607,19.9096
2.1372,19.9067
2.1189,19.9122
2.0878,19.9315
2.1047,19.9944
2.0863,19.9997
2.0588,19.9901
2.0417,19.9974
2.0131,19.9854
1.9840,20.0084
1.9543,19.9940
1.9585,20.0378
1.9139,19.9971
1.8782,19.9714
1.8945,20.0369
1.8479,20.0287
1.8393,20.0507
1.8764,20.1559
1.8115,20.1145
1.7954,20.1233
1.7792,20.1320
1.7303,20.1183
1.7280,20.1534
1.7164,20.1708
1.7069,20.1926
1.6768,20.1743
1.6604,20.1827
1.6097,20.1636
1.5867,20.1583
1.6014,20.2291
1.6068,20.2820
1.5770,20.2632
1.5495,20.2488
1.5056,20.2422
1.4976,20.2681
1.5010,20.3189
1.4863,20.3312
1.4705,20.3413
1.4485,20.3376
1.4420,20.3681
1.4076,20.3370
1.3968,20.3582
1.3820,20.3703
1.3670,20.3824
1.3500,20.3898
1.3320,20.3949
1.3199,20.4137
1.2877,20.4328
1.2744,20.4492
1.2591,20.4610
1.2485,20.4843
1.2284,20.4844
1.2074,20.4821
1.1691,20.4867
1.1463,20.4796
1.1345,20.5003
1.1100,20.4884
1.1087,20.5370
1.1072,20.5857
1.0737,20.6036
1.0544,20.6055
1.0230,20.5745
0.9867,20.5292
0.9558,20.4979
0.9334,20.4900
1.0149,20.7766
0.8955,20.4928
0.9206,20.6215
0.9175,20.6701
0.9140,20.7187
0.9048,20.7510
0.8915,20.7713
0.8577,20.7298
0.7933,20.6535
0.7876,20.6972
0.7772,20.7267
0.7845,20.8134
0.7706,20.8334
0.7508,20.8343
0.6712,20.7018
0.6674,20.7551
0.6549,20.7796
0.6423,20.8040
0.6323,20.8381
0.6256,20.8844
0.5859,20.8851
0.5772,20.9261
0.5638,20.9504
0.5348,20.9168
0.5277,20.9652
0.5147,20.9922
0.5407,21.1714
0.4838,21.0282
0.4515,20.9797
0.4315,20.9795
0.4104,20.9744
0.3775,20.9207
0.3670,20.9592
0.3609,21.0171
0.3098,20.9674
0.2921,20.9765
0.2874,21.0441
0.2824,21.1117
0.2649,21.1236
0.2367,21.0858
0.2016,21.1085
0.1824,21.1124
0.1642,21.1212
0.1479,21.1397
0.1258,21.1287
0.1057,21.1275
0.1045,21.2274
0.0672,21.1348
0.0399,21.0941
0.0296,21.1467
