# FrameTime=1781596546.21, PointCount=640
-4.3620,23.6629
-4.3937,23.6878
-4.3964,23.7093
-4.3153,23.7891
-4.4984,23.6850
-4.5011,23.7062
-4.5262,23.7117
-4.4272,23.8055
-4.3758,23.8661
-4.5168,23.7885
-4.6249,23.7335
-4.5835,23.7870
-4.5765,23.8156
-4.6381,23.7937
-4.6552,23.8044
-4.7216,23.8013
-4.7249,23.8222
-4.7441,23.8309
-4.7673,23.8366
-4.7945,23.8390
-4.8354,23.8307
-4.8737,23.8473
-4.9086,23.8431
-4.9238,23.8542
-4.9430,23.8622
-4.9622,23.8701
-4.9813,23.8779
-5.0120,23.8997
-5.0274,23.9105
-5.0581,23.9084
-5.0679,23.9237
-5.0757,23.9407
-5.0988,23.9448
-5.0838,23.9812
-5.0897,24.0000
-5.1356,23.9844
-5.1305,24.0126
-5.1667,24.0049
-5.2160,23.9855
-5.1866,24.0352
-5.1633,24.0801
-5.2626,24.0155
-5.1911,24.1037
-5.2033,24.1172
-5.2245,24.1223
-5.2387,24.1338
-5.2619,24.1369
-5.2778,24.1467
-5.3243,24.1525
-5.3438,24.1586
-5.3525,24.1750
-5.3773,24.1761
-5.3896,24.1890
-5.4235,24.1810
-5.4697,24.1854
-5.5247,24.1560
-5.5299,24.1754
-5.5564,24.1737
-5.5532,24.2017
-5.5656,24.2140
-5.5745,24.2299
-5.5606,24.2692
-5.5996,24.2544
-5.6191,24.2594
-5.6283,24.2752
-5.6858,24.2403
-5.7334,24.2154
-5.7466,24.2264
-5.7886,24.2316
-5.7909,24.2543
-5.8061,24.2631
-5.7689,24.3290
-5.7568,24.3681
-5.7912,24.3561
-5.8435,24.3240
-5.8562,24.3354
-5.8790,24.3357
-5.9083,24.3284
-5.9507,24.3060
-5.9307,24.3547
-5.9476,24.3612
-5.9402,24.3959
-5.9702,24.3873
-5.9921,24.3879
-6.0051,24.3989
-5.9983,24.4334
-6.0114,24.4444
-6.0278,24.4515
-6.0409,24.4624
-6.0522,24.4757
-6.0769,24.4725
-6.0964,24.4756
-6.1191,24.4746
-6.1323,24.4852
-6.1362,24.5076
-6.1465,24.5221
-6.1672,24.5233
-6.2082,24.4984
-6.2185,24.5127
-6.2341,24.5202
-6.2535,24.5226
-6.2941,24.4972
-6.2438,24.5912
-6.3207,24.5174
-6.3192,24.5473
-6.3267,24.5654
-6.3321,24.5863
-6.3457,24.5964
-6.3769,24.5821
-6.3993,24.5799
-6.3855,24.6276
-6.4613,24.5507
-6.4574,24.5847
-6.4883,24.5699
-6.4875,24.5999
-6.4782,24.6422
-6.4749,24.6763
-6.4800,24.7284
-6.5409,24.6690
-6.5238,24.7242
-6.5547,24.7084
-6.5750,24.7083
-6.5944,24.7092
-6.5772,24.7658
-6.6488,24.6872
-6.6709,24.6837
-6.6260,24.7836
-6.6536,24.7717
-6.6731,24.7723
-6.6926,24.7729
-6.7120,24.7733
-6.7333,24.7708
-6.7430,24.7868
-6.7519,24.8040
-6.7635,24.8170
-6.7744,24.8312
-6.8093,24.8060
-6.8192,24.8216
-6.7942,24.8961
-6.8554,24.8258
-6.8942,24.7926
-6.9159,24.7880
-6.9351,24.7877
-6.9368,24.8175
-6.9610,24.8083
-6.9358,24.8859
-6.9748,24.8506
-6.9770,24.8804
-6.9818,24.9059
-6.9891,24.9270
-7.0116,24.9206
-7.0620,24.8628
-7.0304,24.9555
-7.0884,24.8827
-7.0865,24.9213
-7.1034,24.9246
-7.1172,24.9338
-7.1256,24.9533
-7.1357,24.9698
-7.1314,25.0144
-7.1712,24.9730
-7.1950,24.9627
-7.2007,24.9879
-7.1917,25.0430
-7.2214,25.0206
-7.2414,25.0175
-7.2629,25.0113
-7.2334,25.1100
-7.2947,25.0212
-7.2881,25.0734
-7.3025,25.0819
-7.3578,25.0033
-7.3642,25.0283
-7.3665,25.0623
-7.3419,25.1556
-7.4013,25.0655
-7.4116,25.0829
-7.4388,25.0624
-7.4639,25.0463
-7.4809,25.0483
-7.4998,25.0457
-7.4652,25.1667
-7.5317,25.0541
-7.5486,25.0559
-7.5655,25.0577
-7.5805,25.0640
-7.5955,25.0703
-7.6143,25.0673
-7.5860,25.1796
-7.6406,25.0888
-7.6557,25.0949
-7.6726,25.0963
-7.6463,25.2074
-7.6865,25.1499
-7.7042,25.1496
-7.7052,25.1928
-7.6524,25.3777
-7.7301,25.2200
-7.7490,25.2165
-7.7697,25.2082
-7.7714,25.2513
-7.7886,25.2524
-7.8059,25.2533
-7.8215,25.2589
-7.8343,25.2723
-7.8532,25.2684
-7.8672,25.2785
-7.8942,25.2509
-7.9194,25.2278
-7.9237,25.2662
-7.9325,25.2919
-7.9424,25.3145
-7.9670,25.2928
-7.9872,25.2836
-7.9999,25.2982
-8.0095,25.3222
-8.0193,25.3463
-8.0312,25.3639
-8.0669,25.3610
-8.0885,25.3466
-8.1001,25.3657
-8.1245,25.3416
-8.1334,25.3701
-8.1589,25.3412
-8.1556,25.4131
-8.1973,25.3262
-8.2131,25.3307
-8.2262,25.3446
-8.2460,25.3345
-8.2489,25.3869
-8.2560,25.4248
-8.2682,25.4438
-8.2832,25.4525
-8.3018,25.4470
-8.3204,25.4415
-8.3389,25.4358
-8.3574,25.4302
-8.3758,25.4244
-8.3779,25.4867
-8.4080,25.4321
-8.4241,25.4359
-8.4402,25.4396
-8.4563,25.4433
-8.4746,25.4372
-8.4918,25.4359
-8.5111,25.4248
-8.4948,25.5798
-8.5433,25.4317
-8.5553,25.4545
-8.5678,25.4759
-8.5811,25.4938
-8.5964,25.5020
-8.6098,25.5199
-8.5910,25.7064
-8.6398,25.5409
-8.6535,25.5587
-8.6679,25.5729
-8.6862,25.5661
-8.7027,25.5691
-8.7167,25.5867
-8.7234,25.6472
-8.7465,25.6120
-8.7680,25.5852
-8.7853,25.5830
-8.8034,25.5758
-8.8207,25.5735
-8.8358,25.5859
-8.8420,25.6579
-8.8696,25.5859
-8.8855,25.5932
-8.8972,25.6300
-8.9112,25.6521
-8.9247,25.6790
-8.9469,25.6404
-8.9623,25.6525
-8.9653,25.7656
-8.9934,25.6765
-9.0109,25.6735
-9.0237,25.7102
-9.0395,25.7221
-9.0510,25.7736
-9.0729,25.7307
-9.0841,25.7891
-9.1064,25.7392
-9.1249,25.7260
-9.1423,25.7226
-9.1593,25.7242
-9.1728,25.7655
-9.1877,25.7919
-9.2033,25.8132
-9.2374,25.8209
-9.2550,25.8172
-9.2723,25.8184
-9.2899,25.8146
-9.3065,25.8257
-9.3261,25.7880
-9.3372,25.8947
-9.3545,25.8986
-9.3719,25.9016
-9.3891,25.9075
-9.4068,25.9062
-9.4228,25.9419
-9.4391,25.9747
-9.4548,26.0304
-9.4669,26.2034
-9.4918,25.9944
-9.5102,25.9721
-9.5279,25.9726
-9.5454,25.9830
-9.5664,25.8075
-9.5807,25.9965
-9.6163,25.9919
-9.6341,25.9871
-9.6519,25.9772
-9.6697,25.9722
-9.6874,25.9772
-9.7053,26.0021
-9.7411,26.0218
-9.7593,26.0465
-9.7766,26.0113
-9.7940,25.9860
-9.8120,25.9956
-9.8307,26.0301
-9.8513,26.1218
-9.8672,26.0540
-9.8868,26.0983
-9.9045,26.0877
-9.9228,26.0919
-9.9413,26.1011
-9.9596,26.1053
-9.9829,26.2066
-9.9961,26.1085
-10.0148,26.1174
-10.0334,26.1237
-10.0520,26.1302
-9.6987,20.4481
-10.0901,26.1528
-10.1098,26.1714
-10.1479,26.1886
-10.1671,26.1971
-10.1855,26.1956
-10.2030,26.1841
-10.2227,26.1974
-10.2452,26.2405
-10.2802,26.4104
-10.2872,26.2866
-10.3058,26.2847
-10.3239,26.2778
-10.3436,26.2858
-10.3628,26.2887
-10.3809,26.2817
-10.4144,26.4062
-10.4188,26.2823
-10.4368,26.2751
-10.4555,26.2727
-10.4747,26.2753
-10.4927,26.2679
-10.5086,26.2457
-10.5353,26.3025
-10.5770,26.3268
-10.5987,26.3439
-10.6183,26.3460
-10.6386,26.3530
-10.6590,26.3600
-10.6795,26.3668
-10.7189,26.3705
-10.7403,26.3821
-10.7609,26.3888
-10.7816,26.3953
-10.8006,26.3920
-10.8195,26.3885
-10.8385,26.3851
-10.8764,26.3780
-10.9039,26.4185
-10.9326,26.4637
-10.9615,26.5089
-10.9858,26.5295
-11.0122,26.5597
-11.0574,26.5809
-11.0864,26.6206
-11.1121,26.6439
-11.1296,26.6297
-11.1453,26.6077
-11.1616,26.5886
-11.2019,26.5844
-11.2214,26.5798
-11.2515,26.6188
-11.2837,26.6657
-11.2967,26.6335
-11.3164,26.6286
-11.3541,26.6946
-11.3520,26.6041
-11.3704,26.5942
-11.3989,26.6229
-11.4237,26.6370
-11.4447,26.6365
-11.4604,26.6167
-11.4973,26.6739
-11.5519,26.7157
-11.5800,26.7389
-11.6139,26.7811
-11.6406,26.7978
-11.6509,26.7583
-11.6810,26.7858
-11.7329,26.8119
-11.7605,26.8296
-11.7853,26.8376
-11.8071,26.8360
-11.8334,26.8487
-11.8476,26.8231
-11.8880,26.8784
-11.9119,26.8824
-11.9335,26.8792
-11.9508,26.8629
-11.9860,26.8998
-11.9786,26.8113
-11.9743,26.7334
-11.9927,26.7218
-12.0326,26.7078
-12.0339,26.6489
-12.0758,26.7029
-12.1784,26.9221
-12.2128,26.9521
-12.2404,26.9631
-12.2938,26.9793
-12.3024,26.9397
-12.3140,26.9085
-12.3381,26.9099
-12.3860,26.9716
-12.4067,26.9634
-12.4891,27.0488
-12.5195,27.0634
-12.5423,27.0595
-12.5974,27.1332
-12.6436,27.1844
-12.6671,27.1806
-12.7292,27.2677
-12.6901,27.1166
-12.7073,27.0984
-12.7463,27.1305
-12.8056,27.2081
-12.8530,27.2576
-12.9153,27.3394
-12.9270,27.3072
-12.9891,27.3284
-13.0275,27.3547
-13.0787,27.4079
-13.0753,27.3433
-13.0907,27.3195
-13.1361,27.3589
-13.1950,27.3695
-13.2365,27.3993
-13.2761,27.4245
-13.3070,27.4317
-13.3357,27.4341
-13.3578,27.4231
-13.4542,27.5593
-13.3974,27.3920
-13.4398,27.4208
-13.4802,27.4449
-13.5046,27.4379
-13.5406,27.4529
-13.5907,27.4943
-13.6387,27.5310
-13.7189,27.5730
-13.7772,27.6267
-13.8334,27.6757
