# FrameTime=1781596603.59, PointCount=682
-17.3483,26.7044
-17.3351,26.7286
-17.3261,26.7499
-15.4228,28.2070
-17.4595,26.6775
-17.3393,26.7838
-17.4098,26.7441
-15.5002,28.2423
-15.5078,28.2601
-17.4427,26.7619
-15.5407,28.2818
-15.5348,28.3104
-15.5504,28.3220
-17.6890,26.6219
-17.6956,26.6301
-17.6132,26.7110
-17.6163,26.7226
-17.6463,26.7119
-15.7482,28.3038
-17.6410,26.7446
-17.6939,26.7143
-17.6779,26.7419
-17.6545,26.7760
-17.7792,26.6835
-17.9148,26.5804
-15.8347,28.3979
-17.9391,26.5856
-18.0058,26.5403
-17.9747,26.5806
-17.8728,26.6843
-17.8200,26.7453
-17.8753,26.7096
-15.9823,28.4365
-15.9833,28.4599
-15.9938,28.4748
-16.0077,28.4865
-17.8844,26.7714
-17.8805,26.7893
-17.8694,26.8140
-16.1222,28.4776
-17.9201,26.7949
-17.9020,26.8266
-17.9381,26.8064
-17.9848,26.7757
-16.2445,28.4825
-17.9633,26.8252
-16.2248,28.5511
-16.2656,28.5355
-16.2780,28.5480
-16.3064,28.5693
-18.0176,26.8585
-18.2174,26.6694
-18.1893,26.7118
-16.4302,28.5423
-18.0748,26.8585
-17.9750,26.9775
-18.0895,26.8725
-18.1072,26.8686
-16.5438,28.5474
-16.5494,28.5663
-16.5585,28.5815
-16.5710,28.5931
-16.5574,28.6333
-16.5995,28.6125
-16.5987,28.6387
-16.6481,28.6095
-16.6607,28.6208
-16.6709,28.6349
-16.6968,28.6312
-16.6930,28.6611
-16.6623,28.7220
-16.7014,28.7032
-16.7273,28.6993
-16.7531,28.6952
-16.7692,28.7024
-16.7950,28.6982
-16.8014,28.7167
-18.5732,26.6278
-18.5990,26.6103
-16.8666,28.7174
-16.8795,28.7280
-16.9105,28.7166
-16.9118,28.7415
-16.9395,28.7337
-16.8679,28.8496
-17.0338,28.6689
-17.0528,28.6713
-17.0687,28.6775
-17.0784,28.6915
-17.0851,28.7093
-17.0828,28.7391
-18.6800,26.6878
-17.0907,28.7828
-18.6664,26.7341
-18.6794,26.7314
-18.6594,26.7726
-18.6456,26.8060
-18.6468,26.8194
-18.6363,26.8488
-17.2067,28.8197
-17.2140,28.8374
-17.2273,28.8471
-18.6773,26.8539
-18.6962,26.8429
-17.2645,28.8797
-18.6935,26.8778
-18.7210,26.8543
-18.7026,26.8963
-18.6845,26.9385
-18.7176,26.9066
-18.6068,27.0852
-17.4075,28.8735
-18.6312,27.0837
-18.6281,27.1057
-18.6335,27.1152
-17.4958,28.8570
-17.4928,28.8907
-17.5035,28.9037
-17.5116,28.9208
-17.5251,28.9295
-17.5317,28.9492
-17.5496,28.9511
-17.5765,28.9386
-17.5769,28.9682
-17.5879,28.9810
-17.5869,29.0134
-17.6059,29.0133
-17.6249,29.0133
-17.5784,29.1213
-17.6577,29.0214
-17.6910,28.9972
-17.7149,28.9882
-17.7160,29.0178
-17.7435,29.0026
-17.7437,29.0340
-17.6529,29.2234
-17.7814,29.0327
-17.8002,29.0320
-17.7846,29.0919
-17.7972,29.1024
-17.8113,29.1103
-17.8254,29.1181
-17.8123,29.1755
-17.8560,29.1293
-17.8749,29.1282
-17.8976,29.1200
-17.9150,29.1214
-17.9315,29.1245
-17.9387,29.1452
-17.9482,29.1615
-17.9639,29.1663
-17.9804,29.1692
-17.9947,29.1765
-18.0090,29.1838
-18.0265,29.1848
-18.0497,29.1741
-18.0751,29.1589
-18.0708,29.2036
-18.1036,29.1729
-18.1148,29.1862
-18.1041,29.2452
-18.1293,29.2297
-18.1587,29.2049
-18.1922,29.1711
-18.0876,29.4327
-18.2250,29.1753
-18.2393,29.1819
-18.2433,29.2112
-18.2371,29.2632
-18.2721,29.2242
-18.2946,29.2124
-18.2581,29.3344
-18.3115,29.2525
-18.3390,29.2289
-18.3594,29.2214
-18.3738,29.2276
-18.3824,29.2475
-18.4008,29.2444
-18.3907,29.3096
-18.3520,29.4451
-18.4182,29.3264
-18.4477,29.2961
-18.5032,29.2003
-18.4991,29.2523
-18.5045,29.2813
-18.5191,29.2870
-18.4129,29.6041
-18.5466,29.3030
-18.5630,29.3040
-18.5795,29.3049
-18.5942,29.3104
-18.6106,29.3112
-18.6253,29.3167
-18.5770,29.4949
-18.6547,29.3274
-18.6712,29.3280
-18.6859,29.3332
-18.6990,29.3431
-18.7318,29.2965
-18.7367,29.3299
-18.7083,29.4617
-18.7408,29.4154
-18.7481,29.4434
-18.7912,29.3640
-18.8277,29.3026
-18.8439,29.3026
-18.8540,29.3216
-18.8272,29.4572
-18.8835,29.3310
-18.8909,29.3593
-18.8852,29.4306
-18.9009,29.4330
-18.8967,29.5018
-18.9219,29.4729
-18.9095,29.5711
-18.9495,29.4914
-18.9771,29.4527
-18.9991,29.4331
-19.0195,29.4182
-19.0372,29.4128
-19.0575,29.3977
-19.0568,29.4595
-19.0489,29.5496
-19.0743,29.5158
-19.0889,29.5226
-19.1105,29.5024
-19.1388,29.4554
-19.1447,29.4957
-19.1739,29.4437
-19.1212,29.7230
-19.1935,29.4947
-19.1902,29.5759
-19.2378,29.4438
-19.2483,29.4668
-19.2069,29.7161
-19.2416,29.6370
-19.2906,29.4918
-19.1983,29.9823
-19.3063,29.5666
-19.3264,29.5483
-19.3465,29.5294
-19.3375,29.6497
-19.3786,29.5287
-19.3960,29.5220
-19.3730,29.7176
-19.4266,29.5281
-19.4439,29.5213
-19.4620,29.5095
-19.4700,29.5516
-19.4854,29.5545
-19.4960,29.5840
-19.4916,29.6992
-19.5287,29.5797
-19.5467,29.5677
-19.5639,29.5605
-19.5651,29.6494
-19.5782,29.6682
-19.5954,29.6615
-19.6030,29.7162
-19.6269,29.6664
-19.6412,29.6786
-19.6548,29.6958
-19.6700,29.7024
-19.6927,29.6559
-19.7179,29.5890
-19.7262,29.6454
-19.7238,29.7855
-19.7576,29.6495
-19.7770,29.6219
-19.9760,28.1192
-19.9889,28.1057
-19.8069,29.7741
-20.0234,27.9990
-20.0357,27.9853
-20.0481,27.9715
-20.0603,27.9577
-20.0719,27.9488
-20.0835,27.9399
-19.9290,29.6865
-20.1056,27.9320
-20.1214,27.8732
-20.1305,27.8890
-20.1372,27.9347
-20.1193,28.2944
-20.1344,28.2505
-20.1492,28.2064
-20.1598,28.2172
-20.1867,27.9886
-20.1945,28.0342
-20.2112,27.9401
-20.2224,27.9307
-20.2343,27.9064
-20.2490,27.8270
-20.2457,28.1022
-20.2704,27.8081
-20.2797,27.8285
-20.2877,27.8839
-20.2965,27.9293
-20.3067,27.9396
-20.3172,27.9400
-20.3256,28.0202
-20.3383,27.9456
-20.3489,27.9458
-20.3595,27.9460
-20.3700,27.9512
-20.3805,27.9564
-20.3911,27.9665
-20.4017,27.9716
-20.4123,27.9767
-20.4230,27.9717
-20.4338,28.0167
-20.4448,28.0566
-20.4555,28.0316
-20.4664,28.0315
-20.4781,28.0969
-20.4881,28.0312
-20.4988,28.0260
-20.5098,28.0307
-20.5206,28.0305
-20.5316,28.0352
-20.5428,28.0449
-20.5528,28.0195
-20.5646,28.0441
-20.5706,27.9245
-20.5844,27.9983
-20.5910,27.9087
-20.6022,27.9231
-20.6113,27.8965
-20.6232,27.9207
-20.6352,27.9463
-20.6448,27.9294
-20.6597,27.9948
-20.6653,27.9186
-20.6761,27.9229
-20.6864,27.9179
-20.6961,27.9072
-20.7078,27.9213
-20.7238,27.9864
-20.7341,27.9806
-20.7424,27.9527
-20.7475,27.8920
-20.7522,27.8313
-20.7615,27.8204
-20.7717,27.8194
-20.7941,27.9348
-20.7927,27.8222
-20.8073,27.8608
-20.8246,27.9215
